TotalSteps,TrackerDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,source,steps_clean,steps_flag_outlier,minutes_flag_over_1440,user_id,date,total_minutes_asleep,total_minutes_awake,avg_sleep_efficiency,segment_count,has_unknown_main_sleep,rhr_clean_daily,rhr_flag_invalid_daily
6026.0,4.3,39.0,33.0,182.0,1301.0,2269.0,Fitbit,6026.0,0,1,U_5NQ4FMYZYCWT,2024-03-10,360.0,17.0,83.0,1,0,64.8,0
9692.0,6.92,,,106.0,1356.0,,Fitbit,9692.0,0,1,U_5NQ4FMYZYCWT,2024-03-11,341.0,38.0,89.5,2,0,,0
10608.0,7.58,81.0,16.0,83.0,1247.0,2334.0,Fitbit,10608.0,0,0,U_5NQ4FMYZYCWT,2024-03-12,360.0,23.0,85.0,1,0,66.4,0
7201.0,5.14,34.0,3.0,58.0,1323.0,,Fitbit,7201.0,0,0,U_5NQ4FMYZYCWT,2024-03-13,501.0,88.0,79.0,2,0,69.44999999999999,0
8735.0,6.24,,,,1250.0,2188.0,Fitbit,8735.0,0,0,U_5NQ4FMYZYCWT,2024-03-15,360.0,17.0,85.0,1,0,71.19999999999999,0
11485.0,8.2,74.0,10.0,175.0,1265.0,2361.0,Fitbit,11485.0,0,1,U_5NQ4FMYZYCWT,2024-03-19,360.0,72.0,76.0,1,0,,0
10627.0,7.59,85.0,21.0,,1169.0,2150.0,Fitbit,10627.0,0,0,U_5NQ4FMYZYCWT,2024-03-21,118.0,,82.0,1,0,66.8,0
9415.0,6.72,,23.0,27.0,1343.0,2201.0,Fitbit,9415.0,0,0,U_5NQ4FMYZYCWT,2024-03-23,219.0,,69.0,1,0,,0
7665.0,5.47,56.0,7.0,59.0,1297.0,2447.0,Fitbit,7665.0,0,0,U_5NQ4FMYZYCWT,2024-03-24,355.0,41.0,80.0,1,0,73.0,0
9013.0,6.44,44.0,4.0,18.0,1301.0,2294.0,Fitbit,9013.0,0,0,U_5NQ4FMYZYCWT,2024-03-25,199.0,36.0,91.0,1,0,66.8,0
9977.0,7.13,,9.0,10.0,1265.0,2479.0,Fitbit,9977.0,0,0,U_5NQ4FMYZYCWT,2024-03-26,109.0,30.0,95.0,1,0,61.2,0
10469.0,7.48,81.0,22.0,49.0,1212.0,2285.0,Fitbit,10469.0,0,0,U_5NQ4FMYZYCWT,2024-03-27,195.0,54.0,85.5,2,0,66.7,0
9121.0,6.51,55.0,25.0,69.0,1237.0,2174.0,Fitbit,9121.0,0,0,U_5NQ4FMYZYCWT,2024-03-28,473.0,81.0,90.5,2,1,66.6,0
7309.0,5.22,35.0,,159.0,1306.0,2078.0,Fitbit,7309.0,0,1,U_5NQ4FMYZYCWT,2024-03-30,348.0,32.0,82.5,2,0,71.7,0
6460.0,4.61,54.0,28.0,189.0,1224.0,,Fitbit,6460.0,0,1,U_5NQ4FMYZYCWT,2024-03-31,128.0,60.0,,1,0,63.9,0
8940.0,6.39,39.0,4.0,178.0,1335.0,1767.0,Fitbit,8940.0,0,1,U_5NQ4FMYZYCWT,2024-04-01,299.0,42.0,82.0,2,0,59.6,0
8907.0,6.36,39.0,12.0,97.0,,2580.0,Fitbit,8907.0,0,0,U_5NQ4FMYZYCWT,2024-04-02,199.0,,83.0,1,0,71.6,0
9264.0,6.62,60.0,17.0,116.0,1329.0,2051.0,Fitbit,9264.0,0,1,U_5NQ4FMYZYCWT,2024-04-04,542.0,34.0,75.0,2,0,,0
9154.0,6.54,78.0,12.0,55.0,1198.0,2318.0,Fitbit,9154.0,0,0,U_5NQ4FMYZYCWT,2024-04-05,80.0,52.0,74.0,1,0,64.6,0
6319.0,4.51,24.0,6.0,182.0,,2007.0,Fitbit,6319.0,0,0,U_5NQ4FMYZYCWT,2024-04-07,360.0,30.0,,1,1,69.2,0
7394.0,5.28,31.0,40.0,36.0,,1857.0,Fitbit,7394.0,0,0,U_5NQ4FMYZYCWT,2024-04-08,219.0,0.0,74.0,1,0,,0
10628.0,,59.0,19.0,185.0,1347.0,1962.0,Fitbit,10628.0,0,1,U_5NQ4FMYZYCWT,2024-04-10,360.0,41.0,83.0,1,0,63.8,0
8737.0,6.24,59.0,3.0,208.0,1271.0,,Fitbit,8737.0,0,1,U_5NQ4FMYZYCWT,2024-04-11,360.0,21.0,85.0,1,0,65.8,0
,7.24,63.0,22.0,,,2255.0,Fitbit,,0,0,U_5NQ4FMYZYCWT,2024-04-12,100.0,,82.0,1,0,62.5,0
7621.0,5.44,27.0,32.0,167.0,1283.0,2369.0,Fitbit,7621.0,0,1,U_5NQ4FMYZYCWT,2024-04-13,211.0,60.0,88.0,2,0,72.9,0
,7.5,,21.0,35.0,1205.0,2369.0,Fitbit,,0,0,U_5NQ4FMYZYCWT,2024-04-15,438.0,67.0,91.5,3,1,65.2,0
10399.0,7.43,84.0,37.0,137.0,,2243.0,Fitbit,10399.0,0,0,U_5NQ4FMYZYCWT,2024-04-16,177.0,33.0,82.0,1,0,67.9,0
10418.0,,74.0,17.0,139.0,1358.0,2200.0,Fitbit,10418.0,0,1,U_5NQ4FMYZYCWT,2024-04-17,468.0,106.0,88.0,2,1,69.7,0
9385.0,6.7,,16.0,74.0,1253.0,2078.0,Fitbit,9385.0,0,0,U_5NQ4FMYZYCWT,2024-04-18,296.0,0.0,83.0,1,0,59.5,0
8223.0,5.87,49.0,32.0,199.0,1233.0,2203.0,Fitbit,8223.0,0,1,U_5NQ4FMYZYCWT,2024-04-19,360.0,58.0,,1,1,60.3,0
7199.0,5.14,,,207.0,1327.0,2361.0,Fitbit,7199.0,0,1,U_5NQ4FMYZYCWT,2024-04-20,360.0,,94.0,1,0,68.5,0
6059.0,4.33,,40.0,79.0,1280.0,2061.0,Fitbit,6059.0,0,0,U_5NQ4FMYZYCWT,2024-04-21,266.0,124.0,82.5,2,0,60.5,0
11327.0,8.09,70.0,11.0,149.0,,2702.0,Fitbit,11327.0,0,0,U_5NQ4FMYZYCWT,2024-04-22,148.0,30.0,76.0,1,0,58.3,0
9351.0,6.68,,30.0,103.0,1309.0,2266.0,Fitbit,9351.0,0,1,U_5NQ4FMYZYCWT,2024-04-25,152.0,19.0,86.0,1,0,68.5,0
10795.0,7.71,48.0,37.0,148.0,1307.0,2290.0,Fitbit,10795.0,0,1,U_5NQ4FMYZYCWT,2024-04-26,164.0,54.0,76.0,1,0,60.1,0
4600.0,,39.0,25.0,55.0,1371.0,1920.0,Fitbit,4600.0,0,1,U_5NQ4FMYZYCWT,2024-04-27,360.0,34.0,80.0,1,0,75.1,0
6405.0,4.58,35.0,17.0,,1375.0,1820.0,Fitbit,6405.0,0,0,U_5NQ4FMYZYCWT,2024-04-28,360.0,27.0,79.0,1,0,70.3,0
10044.0,7.17,,31.0,141.0,1318.0,2362.0,Fitbit,10044.0,0,1,U_5NQ4FMYZYCWT,2024-04-29,,70.0,79.0,1,0,71.6,0
11813.0,8.44,100.0,1.0,176.0,1233.0,,Fitbit,11813.0,0,1,U_5NQ4FMYZYCWT,2024-04-30,345.0,41.0,81.0,1,0,73.5,0
8969.0,6.41,48.0,27.0,4.0,1345.0,2324.0,Fitbit,8969.0,0,0,U_5NQ4FMYZYCWT,2024-05-01,316.0,68.0,71.0,2,0,69.8,0
9312.0,6.65,49.0,17.0,115.0,1342.0,2142.0,Fitbit,9312.0,0,1,U_5NQ4FMYZYCWT,2024-05-02,360.0,53.0,90.0,1,0,63.7,0
,4.87,26.0,,160.0,1216.0,1991.0,Fitbit,,0,0,U_5NQ4FMYZYCWT,2024-05-03,523.0,57.0,88.0,3,0,66.05,0
9912.0,7.08,,14.0,61.0,1225.0,2578.0,Fitbit,9912.0,0,0,U_5NQ4FMYZYCWT,2024-05-05,146.0,55.0,84.0,1,0,71.1,0
10417.0,7.44,40.0,1.0,199.0,1237.0,2746.0,Fitbit,10417.0,0,1,U_5NQ4FMYZYCWT,2024-05-09,360.0,76.0,,1,0,67.9,0
8389.0,5.99,48.0,4.0,62.0,1364.0,1683.0,Fitbit,8389.0,0,1,U_5NQ4FMYZYCWT,2024-05-10,360.0,40.0,96.0,1,0,66.7,0
8623.0,6.16,43.0,24.0,161.0,1278.0,2251.0,Fitbit,8623.0,0,1,U_5NQ4FMYZYCWT,2024-05-11,360.0,,87.0,1,0,74.0,0
5885.0,4.2,13.0,33.0,5.0,1368.0,2103.0,Fitbit,5885.0,0,0,U_5NQ4FMYZYCWT,2024-05-12,360.0,26.0,91.0,1,0,71.7,0
11424.0,8.16,67.0,7.0,56.0,,2682.0,Fitbit,11424.0,0,0,U_5NQ4FMYZYCWT,2024-05-13,,,94.0,1,0,65.3,0
9092.0,6.49,63.0,5.0,156.0,1248.0,2176.0,Fitbit,9092.0,0,1,U_5NQ4FMYZYCWT,2024-05-14,360.0,68.0,78.0,1,0,69.7,0
7276.0,5.2,27.0,15.0,85.0,1201.0,1817.0,Fitbit,7276.0,0,0,U_5NQ4FMYZYCWT,2024-05-15,329.0,,70.0,1,0,57.8,0
8660.0,6.19,41.0,15.0,85.0,,1962.0,Fitbit,8660.0,0,0,U_5NQ4FMYZYCWT,2024-05-16,186.0,71.0,,1,1,63.2,0
8460.0,6.04,84.0,12.0,14.0,1303.0,2100.0,Fitbit,8460.0,0,0,U_5NQ4FMYZYCWT,2024-05-17,360.0,53.0,72.0,1,1,63.7,0
8136.0,5.81,26.0,,124.0,1236.0,1946.0,Fitbit,8136.0,0,0,U_5NQ4FMYZYCWT,2024-05-18,360.0,43.0,85.0,1,0,64.1,0
7682.0,5.49,22.0,33.0,11.0,1218.0,2431.0,Fitbit,7682.0,0,0,U_5NQ4FMYZYCWT,2024-05-19,360.0,35.0,96.0,1,1,65.8,0
8532.0,6.09,36.0,18.0,164.0,1227.0,2411.0,Fitbit,8532.0,0,1,U_5NQ4FMYZYCWT,2024-05-20,444.0,158.0,78.75,4,0,68.4,0
9005.0,6.43,86.0,1.0,121.0,1188.0,1896.0,Fitbit,9005.0,0,0,U_5NQ4FMYZYCWT,2024-05-21,82.0,17.0,,1,0,62.9,0
7527.0,5.38,55.0,18.0,88.0,1215.0,2064.0,Fitbit,7527.0,0,0,U_5NQ4FMYZYCWT,2024-05-22,360.0,55.0,98.0,1,0,63.4,0
8755.0,6.25,46.0,7.0,49.0,1272.0,2165.0,Fitbit,8755.0,0,0,U_5NQ4FMYZYCWT,2024-05-23,422.0,5.0,91.0,2,0,61.4,0
8075.0,5.77,66.0,28.0,72.0,1359.0,1893.0,Fitbit,8075.0,0,1,U_5NQ4FMYZYCWT,2024-05-25,360.0,40.0,80.0,1,0,59.4,0
8664.0,6.19,72.0,,172.0,1347.0,2470.0,Fitbit,8664.0,0,1,U_5NQ4FMYZYCWT,2024-05-26,360.0,13.0,79.0,1,0,70.45,0
9595.0,6.85,56.0,27.0,59.0,1218.0,2341.0,Fitbit,9595.0,0,0,U_5NQ4FMYZYCWT,2024-05-30,360.0,36.0,92.0,1,0,65.1,0
8817.0,6.3,69.0,2.0,177.0,1200.0,2099.0,Fitbit,8817.0,0,1,U_5NQ4FMYZYCWT,2024-06-01,423.0,60.0,87.66666666666667,3,0,73.4,0
8569.0,6.12,55.0,15.0,102.0,1241.0,2187.0,Fitbit,8569.0,0,0,U_5NQ4FMYZYCWT,2024-06-02,360.0,34.0,87.0,1,1,,0
6994.0,5.0,50.0,25.0,100.0,1289.0,2459.0,Fitbit,6994.0,0,1,U_5NQ4FMYZYCWT,2024-06-04,679.0,83.0,88.33333333333333,4,0,66.7,0
7894.0,5.64,34.0,36.0,150.0,1205.0,1823.0,Fitbit,7894.0,0,0,U_5NQ4FMYZYCWT,2024-06-05,161.0,11.0,87.0,1,0,72.1,0
,6.07,29.0,4.0,28.0,1226.0,,Fitbit,,0,0,U_5NQ4FMYZYCWT,2024-06-06,247.0,4.0,90.0,1,0,66.2,0
9231.0,6.59,80.0,17.0,38.0,1195.0,2660.0,Fitbit,9231.0,0,0,U_5NQ4FMYZYCWT,2024-06-07,417.0,56.0,83.0,2,0,,0
7037.0,,36.0,37.0,,1217.0,1705.0,Fitbit,7037.0,0,0,U_5NQ4FMYZYCWT,2024-06-09,246.0,31.0,87.0,1,0,69.2,0
8727.0,6.23,66.0,0.0,,1363.0,1661.0,Fitbit,8727.0,0,0,U_5NQ4FMYZYCWT,2024-06-11,507.0,59.0,83.66666666666667,3,0,64.1,0
8659.0,6.18,71.0,7.0,,1308.0,2239.0,Fitbit,8659.0,0,0,U_5NQ4FMYZYCWT,2024-06-13,360.0,18.0,89.0,1,0,64.4,0
10099.0,7.21,43.0,10.0,93.0,1300.0,2444.0,Fitbit,10099.0,0,1,U_5NQ4FMYZYCWT,2024-06-14,545.0,115.0,80.66666666666667,3,1,64.8,0
,2.68,,38.0,134.0,1375.0,2201.0,Fitbit,,0,1,U_5NQ4FMYZYCWT,2024-06-15,265.0,106.0,75.5,2,1,65.3,0
9104.0,6.5,43.0,29.0,129.0,1250.0,2169.0,Fitbit,9104.0,0,1,U_5NQ4FMYZYCWT,2024-06-16,360.0,27.0,70.0,1,0,64.7,0
9107.0,,66.0,36.0,,1217.0,2541.0,Fitbit,9107.0,0,0,U_5NQ4FMYZYCWT,2024-06-17,360.0,8.0,79.0,1,0,66.1,0
11194.0,8.0,80.0,40.0,,1176.0,2123.0,Fitbit,11194.0,0,0,U_5NQ4FMYZYCWT,2024-06-18,360.0,,89.0,1,0,71.9,0
9687.0,6.92,50.0,1.0,151.0,1279.0,2740.0,Fitbit,9687.0,0,1,U_5NQ4FMYZYCWT,2024-06-20,352.0,92.0,87.5,2,0,66.1,0
11355.0,8.11,78.0,16.0,190.0,1343.0,2963.0,Fitbit,11355.0,0,1,U_5NQ4FMYZYCWT,2024-06-21,167.0,38.0,86.0,1,0,70.15,0
6590.0,,21.0,6.0,70.0,1370.0,2226.0,Fitbit,6590.0,0,1,U_5NQ4FMYZYCWT,2024-06-23,315.0,39.0,,1,0,67.4,0
8369.0,5.98,,18.0,135.0,1246.0,2207.0,Fitbit,8369.0,0,0,U_5NQ4FMYZYCWT,2024-06-24,360.0,,79.0,1,0,63.8,0
11817.0,8.44,90.0,27.0,111.0,1302.0,2246.0,Fitbit,11817.0,0,1,U_5NQ4FMYZYCWT,2024-06-25,179.0,41.0,79.0,1,0,69.5,0
8953.0,6.39,41.0,40.0,16.0,1215.0,2000.0,Fitbit,8953.0,0,0,U_5NQ4FMYZYCWT,2024-06-27,384.0,57.0,94.0,2,0,63.4,0
10478.0,,66.0,27.0,169.0,1304.0,2171.0,Fitbit,10478.0,0,1,U_5NQ4FMYZYCWT,2024-06-28,128.0,56.0,92.0,1,0,53.3,0
5987.0,4.28,13.0,37.0,37.0,1374.0,1964.0,Fitbit,5987.0,0,1,U_5NQ4FMYZYCWT,2024-06-29,360.0,,79.0,1,1,68.75,0
11424.0,8.16,53.0,32.0,185.0,1212.0,2463.0,Fitbit,11424.0,0,1,U_5NQ4FMYZYCWT,2024-07-01,360.0,0.0,,1,0,72.2,0
9841.0,7.03,58.0,25.0,,1246.0,3039.0,Fitbit,9841.0,0,0,U_5NQ4FMYZYCWT,2024-07-02,373.0,49.0,89.5,2,0,64.5,0
10965.0,7.83,84.0,36.0,199.0,1220.0,2567.0,Fitbit,10965.0,0,1,U_5NQ4FMYZYCWT,2024-07-03,207.0,39.0,87.0,1,0,68.4,0
8009.0,5.72,47.0,38.0,41.0,1326.0,2252.0,Fitbit,8009.0,0,1,U_5NQ4FMYZYCWT,2024-07-04,353.0,,75.0,1,0,62.5,0
8946.0,6.39,62.0,31.0,31.0,1252.0,,Fitbit,8946.0,0,0,U_5NQ4FMYZYCWT,2024-07-05,360.0,52.0,87.0,1,1,,0
6919.0,4.94,36.0,16.0,157.0,1221.0,2665.0,Fitbit,6919.0,0,0,U_5NQ4FMYZYCWT,2024-07-06,103.0,55.0,90.0,1,0,70.7,0
7121.0,5.09,38.0,2.0,18.0,1270.0,2259.0,Fitbit,7121.0,0,0,U_5NQ4FMYZYCWT,2024-07-07,182.0,42.0,91.0,1,0,67.2,0
9116.0,,53.0,14.0,129.0,1361.0,2687.0,Fitbit,9116.0,0,1,U_5NQ4FMYZYCWT,2024-07-09,134.0,30.0,87.0,1,0,64.3,0
9915.0,7.08,62.0,30.0,110.0,1214.0,2380.0,Fitbit,9915.0,0,0,U_5NQ4FMYZYCWT,2024-07-11,160.0,,88.0,1,0,64.6,0
13179.0,9.41,,27.0,167.0,1153.0,2008.0,Fitbit,13179.0,0,0,U_5NQ4FMYZYCWT,2024-07-12,327.0,47.0,97.0,1,0,70.1,0
6196.0,4.43,12.0,10.0,121.0,1391.0,1802.0,Fitbit,6196.0,0,1,U_5NQ4FMYZYCWT,2024-07-13,285.0,57.0,77.0,2,0,65.8,0
8833.0,6.31,69.0,,186.0,1225.0,2565.0,Fitbit,8833.0,0,1,U_5NQ4FMYZYCWT,2024-07-17,,40.0,81.0,1,0,63.8,0
8426.0,6.02,53.0,33.0,12.0,1232.0,2114.0,Fitbit,8426.0,0,0,U_5NQ4FMYZYCWT,2024-07-18,360.0,29.0,79.0,1,0,,0
6384.0,4.56,42.0,35.0,49.0,1264.0,2584.0,Fitbit,6384.0,0,0,U_5NQ4FMYZYCWT,2024-07-21,360.0,0.0,86.0,1,0,,0
10133.0,7.24,41.0,35.0,162.0,1245.0,2184.0,Fitbit,10133.0,0,1,U_5NQ4FMYZYCWT,2024-07-23,360.0,0.0,93.0,1,0,64.6,0
10123.0,7.23,70.0,40.0,143.0,1301.0,2653.0,Fitbit,10123.0,0,1,U_5NQ4FMYZYCWT,2024-07-24,449.0,31.0,86.0,2,0,70.2,0
9640.0,6.89,67.0,38.0,85.0,1343.0,2077.0,Fitbit,9640.0,0,1,U_5NQ4FMYZYCWT,2024-07-25,434.0,15.0,93.0,3,1,66.5,0
7750.0,5.54,47.0,35.0,184.0,,2580.0,Fitbit,7750.0,0,0,U_5NQ4FMYZYCWT,2024-07-26,81.0,92.0,85.0,2,0,63.7,0
9089.0,6.49,46.0,30.0,79.0,1341.0,2057.0,Fitbit,9089.0,0,1,U_5NQ4FMYZYCWT,2024-07-29,357.0,54.0,86.0,1,0,,0
