Id,ActivityDate,TotalSteps,TrackerDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,source
,2024-03-22,8423,6.02,28,,,1365,2400.0,Fitbit
U_5NQ4FMYZYCWT,2024/03/23 00:00,9415,6.72,,23,27,1343,2201.0,Fitbit
U_5NQ4FMYZYCWT,24-Mar-2024,7665,5.47,56,7,59,1297,2447.0,Fitbit
U_5NQ4FMYZYCWT,2024-03-25,9013,6.44,44,4,18,1301,2294.0,Fitbit
U_5NQ4FMYZYCWT,2024/03/26 00:00,9977,7.13,,9,10,1265,2479.0,Fitbit
U_5NQ4FMYZYCWT,03/27/2024,10469,7.48,81,22,49,1212,2285.0,Fitbit
U_5NQ4FMYZYCWT,28-Mar-2024,9121,6.51,55,25,69,1237,2174.0,Fitbit
U_5NQ4FMYZYCWT,29-Mar-2024,7292,5.21,26,17,107,1366,2536.0,Fitbit
U_5NQ4FMYZYCWT,03/30/2024,7309,5.22,35,,159,1306,2078.0,Fitbit
U_5NQ4FMYZYCWT,2024/03/31 00:00,6460,4.61,54,28,189,1224,,Fitbit
U_5NQ4FMYZYCWT,2024/04/01 00:00,8940,6.39,39,4,178,1335,1767.0,Fitbit
U_5NQ4FMYZYCWT,04/02/2024,8907,6.36,39,12,97,,2580.0,Fitbit
,2024-04-03,9371,6.69,66,30,42,1313,2153.0,Fitbit
U_5NQ4FMYZYCWT,04/04/2024,9264,6.62,60,17,116,1329,2051.0,Fitbit
U_5NQ4FMYZYCWT,2024/04/05 00:00,9154,6.54,78,12,55,1198,2318.0,Fitbit
U_5NQ4FMYZYCWT,2024/04/06 00:00,4944,3.53,1,13,106,1348,1913.0,Fitbit
U_5NQ4FMYZYCWT,07-Apr-2024,6319,4.51,24,6,182,,2007.0,Fitbit
U_5NQ4FMYZYCWT,04/08/2024,7394,5.28,31,40,36,,1857.0,Fitbit
,2024/04/09 00:00,7333,5.24,44,,207,1229,1966.0,Fitbit
U_5NQ4FMYZYCWT,04/10/2024,10628,,59,19,185,1347,1962.0,Fitbit
U_5NQ4FMYZYCWT,2024-04-11,8737,6.24,59,3,208,1271,,Fitbit
U_5NQ4FMYZYCWT,2024-04-12,,7.24,63,22,,,2255.0,Fitbit
U_5NQ4FMYZYCWT,13-Apr-2024,7621,5.44,27,32,167,1283,2369.0,Fitbit
U_5NQ4FMYZYCWT,2024-04-14,8866,6.33,75,4,85,1209,2170.0,Fitbit
U_5NQ4FMYZYCWT,04/15/2024,,7.5,,21,35,1205,2369.0,Fitbit
U_5NQ4FMYZYCWT,04/16/2024,10399,7.43,84,37,137,,2243.0,Fitbit
U_5NQ4FMYZYCWT,2024/04/17 00:00,10418,,74,17,139,1358,2200.0,Fitbit
U_5NQ4FMYZYCWT,18-Apr-2024,9385,6.7,,16,74,1253,2078.0,Fitbit
U_5NQ4FMYZYCWT,19-Apr-2024,8223,5.87,49,32,199,1233,2203.0,Fitbit
U_5NQ4FMYZYCWT,04/20/2024,7199,5.14,,,207,1327,2361.0,Fitbit
U_5NQ4FMYZYCWT,2024/04/21 00:00,6059,4.33,,40,79,1280,2061.0,Fitbit
U_5NQ4FMYZYCWT,2024-04-22,11327,8.09,70,11,149,,2702.0,Fitbit
U_5NQ4FMYZYCWT,04/25/2024,9351,6.68,,30,103,1309,2266.0,Fitbit
U_5NQ4FMYZYCWT,2024/04/26 00:00,10795,7.71,48,37,148,1307,2290.0,Fitbit
U_5NQ4FMYZYCWT,04/27/2024,4600,,39,25,55,1371,1920.0,Fitbit
U_5NQ4FMYZYCWT,04/28/2024,6405,4.58,35,17,,1375,1820.0,Fitbit
U_5NQ4FMYZYCWT,29-Apr-2024,10044,7.17,,31,141,1318,2362.0,Fitbit
U_5NQ4FMYZYCWT,04/30/2024,11813,8.44,100,1,176,1233,,Fitbit
U_5NQ4FMYZYCWT,01-May-2024,8969,6.41,48,27,4,1345,2324.0,Fitbit
U_5NQ4FMYZYCWT,02-May-2024,9312,6.65,49,17,115,1342,2142.0,Fitbit
U_5NQ4FMYZYCWT,03-May-2024,,4.87,26,,160,1216,1991.0,Fitbit
U_5NQ4FMYZYCWT,2024/05/04 00:00,5510,3.94,,27,208,1261,2005.0,Fitbit
U_5NQ4FMYZYCWT,2024-05-05,9912,7.08,,14,61,1225,2578.0,Fitbit
,2024-05-06,11624,8.3,91,,,1333,2213.0,Fitbit
U_5NQ4FMYZYCWT,2024-05-07,7979,5.7,31,31,,1302,2093.0,Fitbit
,08-May-2024,8197,5.86,,17,103,1360,1744.0,Fitbit
U_5NQ4FMYZYCWT,2024/05/09 00:00,10417,7.44,40,1,199,1237,2746.0,Fitbit
U_5NQ4FMYZYCWT,05/10/2024,8389,5.99,48,4,62,1364,1683.0,Fitbit
U_5NQ4FMYZYCWT,11-May-2024,8623,6.16,43,24,161,1278,2251.0,Fitbit
U_5NQ4FMYZYCWT,2024/05/12 00:00,5885,4.2,13,33,5,1368,2103.0,Fitbit
U_5NQ4FMYZYCWT,13-May-2024,11424,8.16,67,7,56,,2682.0,Fitbit
U_5NQ4FMYZYCWT,05/14/2024,9092,6.49,63,5,156,1248,2176.0,Fitbit
U_5NQ4FMYZYCWT,2024-05-15,7276,5.2,27,15,85,1201,1817.0,Fitbit
U_5NQ4FMYZYCWT,05/16/2024,8660,6.19,41,15,85,,1962.0,Fitbit
U_5NQ4FMYZYCWT,2024-05-17,8460,6.04,84,12,14,1303,2100.0,Fitbit
U_5NQ4FMYZYCWT,18-May-2024,8136,5.81,26,,124,1236,1946.0,Fitbit
U_5NQ4FMYZYCWT,19-May-2024,7682,5.49,22,33,11,1218,2431.0,Fitbit
U_5NQ4FMYZYCWT,2024/05/20 00:00,8532,6.09,36,18,164,1227,2411.0,Fitbit
U_5NQ4FMYZYCWT,2024/05/21 00:00,9005,6.43,86,1,121,1188,1896.0,Fitbit
U_5NQ4FMYZYCWT,05/22/2024,7527,5.38,55,18,88,1215,2064.0,Fitbit
U_5NQ4FMYZYCWT,05/23/2024,8755,6.25,46,7,49,1272,2165.0,Fitbit
,2024-05-24,10898,7.78,87,,156,,2079.0,Fitbit
U_5NQ4FMYZYCWT,25-May-2024,8075,5.77,66,28,72,1359,1893.0,Fitbit
U_5NQ4FMYZYCWT,2024/05/26 00:00,8664,6.19,72,,172,1347,2470.0,Fitbit
U_5NQ4FMYZYCWT,05/27/2024,8669,,,15,171,1264,2490.0,Fitbit
U_5NQ4FMYZYCWT,05/29/2024,7219,5.16,54,,118,1253,1747.0,Fitbit
U_5NQ4FMYZYCWT,2024/05/30 00:00,9595,6.85,56,27,59,1218,2341.0,Fitbit
,2024-05-31,9719,6.94,60,40,172,1270,1810.0,Fitbit
U_5NQ4FMYZYCWT,2024-06-01,8817,6.3,69,2,177,1200,2099.0,Fitbit
U_5NQ4FMYZYCWT,2024-06-02,8569,6.12,55,15,102,1241,2187.0,Fitbit
U_5NQ4FMYZYCWT,2024/06/03 00:00,11521,8.23,74,39,111,1303,2740.0,Fitbit
U_5NQ4FMYZYCWT,04-Jun-2024,6994,5.0,50,25,100,1289,2459.0,Fitbit
U_5NQ4FMYZYCWT,2024/06/05 00:00,7894,5.64,34,36,150,1205,1823.0,Fitbit
U_5NQ4FMYZYCWT,06/06/2024,,6.07,29,4,28,1226,,Fitbit
U_5NQ4FMYZYCWT,2024/06/07 00:00,9231,6.59,80,17,38,1195,2660.0,Fitbit
,08-Jun-2024,5549,3.96,26,28,71,1346,2424.0,Fitbit
U_5NQ4FMYZYCWT,2024-06-09,7037,,36,37,,1217,1705.0,Fitbit
U_5NQ4FMYZYCWT,2024-06-10,8602,6.14,50,11,72,1230,2545.0,Fitbit
U_5NQ4FMYZYCWT,06/11/2024,8727,6.23,66,0,,1363,1661.0,Fitbit
U_5NQ4FMYZYCWT,2024/06/12 00:00,9498,6.78,46,11,122,1299,2553.0,Fitbit
U_5NQ4FMYZYCWT,2024-06-13,8659,6.18,71,7,,1308,2239.0,Fitbit
U_5NQ4FMYZYCWT,2024-06-14,10099,7.21,43,10,93,1300,2444.0,Fitbit
U_5NQ4FMYZYCWT,2024/06/15 00:00,,2.68,,38,134,1375,2201.0,Fitbit
U_5NQ4FMYZYCWT,2024-06-16,9104,6.5,43,29,129,1250,2169.0,Fitbit
U_5NQ4FMYZYCWT,17-Jun-2024,9107,,66,36,,1217,2541.0,Fitbit
U_5NQ4FMYZYCWT,2024/06/18 00:00,11194,8.0,80,40,,1176,2123.0,Fitbit
,06/19/2024,7966,5.69,50,15,159,,1702.0,Fitbit
U_5NQ4FMYZYCWT,20-Jun-2024,9687,6.92,50,1,151,1279,2740.0,Fitbit
U_5NQ4FMYZYCWT,2024/06/21 00:00,11355,8.11,78,16,190,1343,2963.0,Fitbit
U_5NQ4FMYZYCWT,06/22/2024,7184,5.13,57,,103,1237,1903.0,Fitbit
U_5NQ4FMYZYCWT,2024-06-23,6590,,21,6,70,1370,2226.0,Fitbit
U_5NQ4FMYZYCWT,06/24/2024,8369,5.98,,18,135,1246,2207.0,Fitbit
U_5NQ4FMYZYCWT,06/25/2024,11817,8.44,90,27,111,1302,2246.0,Fitbit
U_5NQ4FMYZYCWT,2024/06/26 00:00,9286,6.63,51,1,,1244,2241.0,Fitbit
U_5NQ4FMYZYCWT,2024/06/27 00:00,8953,6.39,41,40,16,1215,2000.0,Fitbit
U_5NQ4FMYZYCWT,2024/06/28 00:00,10478,,66,27,169,1304,2171.0,Fitbit
U_5NQ4FMYZYCWT,29-Jun-2024,5987,4.28,13,37,37,1374,1964.0,Fitbit
U_5NQ4FMYZYCWT,06/30/2024,8900,6.36,38,0,15,1304,2018.0,Fitbit
U_5NQ4FMYZYCWT,01-Jul-2024,11424,8.16,53,32,185,1212,2463.0,Fitbit
U_5NQ4FMYZYCWT,02-Jul-2024,9841,7.03,58,25,,1246,3039.0,Fitbit
U_5NQ4FMYZYCWT,2024/07/03 00:00,10965,7.83,84,36,199,1220,2567.0,Fitbit
U_5NQ4FMYZYCWT,07/04/2024,8009,5.72,47,38,41,1326,2252.0,Fitbit
U_5NQ4FMYZYCWT,2024-07-05,8946,6.39,62,31,31,1252,,Fitbit
U_5NQ4FMYZYCWT,07/06/2024,6919,4.94,36,16,157,1221,2665.0,Fitbit
U_5NQ4FMYZYCWT,2024/07/07 00:00,7121,5.09,38,2,18,1270,2259.0,Fitbit
,08-Jul-2024,8786,6.28,58,18,96,1296,2603.0,Fitbit
U_5NQ4FMYZYCWT,09-Jul-2024,9116,,53,14,129,1361,2687.0,Fitbit
U_5NQ4FMYZYCWT,2024/07/10 00:00,7993,5.71,46,,71,,2113.0,Fitbit
U_5NQ4FMYZYCWT,07/11/2024,9915,7.08,62,30,110,1214,2380.0,Fitbit
U_5NQ4FMYZYCWT,12-Jul-2024,13179,9.41,,27,167,1153,2008.0,Fitbit
U_5NQ4FMYZYCWT,2024-07-13,6196,4.43,12,10,121,1391,1802.0,Fitbit
U_5NQ4FMYZYCWT,07/14/2024,5816,4.15,31,34,37,1337,1907.0,Fitbit
U_5NQ4FMYZYCWT,2024/07/15 00:00,8680,6.2,58,22,71,1207,2174.0,Fitbit
U_5NQ4FMYZYCWT,07/16/2024,9136,6.53,,20,152,1212,2320.0,Fitbit
U_5NQ4FMYZYCWT,2024-07-17,8833,6.31,69,,186,1225,2565.0,Fitbit
U_5NQ4FMYZYCWT,2024-07-18,8426,6.02,53,33,12,1232,2114.0,Fitbit
U_5NQ4FMYZYCWT,2024/07/20 00:00,3586,2.56,33,32,152,1263,2052.0,Fitbit
U_5NQ4FMYZYCWT,2024-07-21,6384,4.56,42,35,49,1264,2584.0,Fitbit
,2024/07/22 00:00,9517,6.8,82,14,0,1215,2091.0,Fitbit
U_5NQ4FMYZYCWT,2024/07/23 00:00,10133,7.24,41,35,162,1245,2184.0,Fitbit
U_5NQ4FMYZYCWT,07/24/2024,10123,7.23,70,40,143,1301,2653.0,Fitbit
U_5NQ4FMYZYCWT,2024/07/25 00:00,9640,6.89,67,38,85,1343,2077.0,Fitbit
U_5NQ4FMYZYCWT,26-Jul-2024,7750,5.54,47,35,184,,2580.0,Fitbit
U_5NQ4FMYZYCWT,2024-07-27,6318,4.51,52,14,220,1373,2244.0,Fitbit
U_5NQ4FMYZYCWT,28-Jul-2024,8321,5.94,59,36,143,1198,2596.0,Fitbit
U_5NQ4FMYZYCWT,2024-07-29,9089,6.49,46,30,79,1341,2057.0,Fitbit
U_5NQ4FMYZYCWT,07/30/2024,9201,6.57,47,25,139,1258,2072.0,Fitbit
U_5NQ4FMYZYCWT,2024-07-31,8563,6.12,57,23,40,1316,,Fitbit
U_5NQ4FMYZYCWT,2024-08-01,9958,7.11,71,29,,1360,2577.0,Fitbit
U_5NQ4FMYZYCWT,02-Aug-2024,10256,7.33,65,5,0,1188,2047.0,Fitbit
U_5NQ4FMYZYCWT,03-Aug-2024,6850,4.89,,,48,1280,,Fitbit
U_5NQ4FMYZYCWT,08/04/2024,6073,4.34,50,,32,1336,2037.0,Fitbit
,2024/08/06 00:00,11191,7.99,99,27,211,1322,2530.0,Fitbit
U_5NQ4FMYZYCWT,07-Aug-2024,9212,,45,10,2,1204,,Fitbit
U_5NQ4FMYZYCWT,2024-08-08,10662,,52,26,,,2476.0,Fitbit
,2024/08/09 00:00,10461,7.47,,5,215,,2167.0,Fitbit
U_5NQ4FMYZYCWT,08/10/2024,6452,4.61,,20,118,1269,1817.0,Fitbit
U_5NQ4FMYZYCWT,08/11/2024,9119,6.51,68,6,35,1231,2228.0,Fitbit
U_5NQ4FMYZYCWT,2024-08-12,7470,5.34,51,12,172,1206,2238.0,Fitbit
U_5NQ4FMYZYCWT,08/13/2024,6929,4.95,54,26,12,1277,2225.0,Fitbit
U_5NQ4FMYZYCWT,08/14/2024,9300,6.64,,16,189,,2098.0,Fitbit
U_5NQ4FMYZYCWT,2024-08-15,7452,5.32,,25,15,1301,1939.0,Fitbit
U_5NQ4FMYZYCWT,08/16/2024,10241,7.32,,16,105,1270,2270.0,Fitbit
U_5NQ4FMYZYCWT,2024/08/17 00:00,6043,4.32,37,8,72,1335,2036.0,Fitbit
U_5NQ4FMYZYCWT,2024-08-18,11119,7.94,54,1,184,1234,2387.0,Fitbit
,08/19/2024,10941,7.82,65,,2,1206,2389.0,Fitbit
U_5NQ4FMYZYCWT,20-Aug-2024,11682,8.34,,16,149,1305,2530.0,Fitbit
,2024-08-21,8459,6.04,53,9,20,1225,2300.0,Fitbit
U_5NQ4FMYZYCWT,08/22/2024,10312,7.37,71,25,104,,2379.0,Fitbit
U_5NQ4FMYZYCWT,2024-08-23,8021,5.73,75,13,135,,2140.0,Fitbit
U_5NQ4FMYZYCWT,08/24/2024,7677,5.48,,30,212,1329,2091.0,Fitbit
U_5NQ4FMYZYCWT,08/25/2024,9607,6.86,,9,90,1197,2067.0,Fitbit
U_5NQ4FMYZYCWT,08/26/2024,9935,7.1,71,40,45,1270,2454.0,Fitbit
U_5NQ4FMYZYCWT,2024/08/27 00:00,6560,4.69,8,7,82,,2125.0,Fitbit
U_5NQ4FMYZYCWT,2024-08-28,10366,7.4,66,13,115,1259,2274.0,Fitbit
U_5NQ4FMYZYCWT,2024/08/29 00:00,9273,6.62,76,4,146,1249,2105.0,Fitbit
U_5NQ4FMYZYCWT,2024/08/31 00:00,8321,5.94,54,36,178,1322,2575.0,Fitbit
U_5NQ4FMYZYCWT,01-Sep-2024,7071,5.05,44,,143,1300,1818.0,Fitbit
U_5NQ4FMYZYCWT,2024/09/02 00:00,10639,7.6,94,,144,1300,2677.0,Fitbit
U_5NQ4FMYZYCWT,03-Sep-2024,8387,5.99,30,21,89,1270,2422.0,Fitbit
U_5NQ4FMYZYCWT,2024/09/04 00:00,8353,5.97,44,,214,1236,2316.0,Fitbit
U_5NQ4FMYZYCWT,09/05/2024,9603,6.86,56,30,33,,2204.0,Fitbit
U_5NQ4FMYZYCWT,2024/09/06 00:00,10541,7.53,59,38,84,1199,2416.0,Fitbit
U_5NQ4FMYZYCWT,2024-09-07,7228,5.16,26,13,46,1275,2328.0,Fitbit
U_5NQ4FMYZYCWT,2024/09/08 00:00,8073,5.77,,20,36,1291,2129.0,Fitbit
U_5NQ4FMYZYCWT,09-Sep-2024,7671,5.48,50,8,39,,2226.0,Fitbit
U_5NQ4FMYZYCWT,09/10/2024,9152,,41,5,44,1228,2226.0,Fitbit
U_5NQ4FMYZYCWT,11-Sep-2024,7757,5.54,34,16,139,1354,2087.0,Fitbit
U_5NQ4FMYZYCWT,2024/09/12 00:00,7881,5.63,69,20,205,1191,1839.0,Fitbit
U_5NQ4FMYZYCWT,2024/09/13 00:00,9318,,37,,18,1356,2448.0,Fitbit
U_5NQ4FMYZYCWT,09/14/2024,6493,4.64,41,18,28,1302,2347.0,Fitbit
U_5NQ4FMYZYCWT,2024/09/15 00:00,6740,4.81,,,174,1259,2138.0,Fitbit
U_5NQ4FMYZYCWT,09/16/2024,9879,7.06,47,10,91,1358,2135.0,Fitbit
U_5NQ4FMYZYCWT,2024-09-17,10416,7.44,46,15,184,1204,2088.0,Fitbit
U_5NQ4FMYZYCWT,2024-09-18,9284,6.63,66,23,130,1335,2383.0,Fitbit
U_5NQ4FMYZYCWT,19-Sep-2024,9015,6.44,,36,127,1229,2412.0,Fitbit
U_5NQ4FMYZYCWT,2024/09/21 00:00,8315,5.94,51,19,11,1221,2077.0,Fitbit
U_5NQ4FMYZYCWT,2024-09-22,,4.83,23,34,,1300,2068.0,Fitbit
U_5NQ4FMYZYCWT,2024/09/23 00:00,10499,7.5,97,35,52,1201,1891.0,Fitbit
U_5NQ4FMYZYCWT,2024-09-24,8509,6.08,,9,202,1316,2047.0,Fitbit
U_5NQ4FMYZYCWT,25-Sep-2024,8916,6.37,41,17,19,1246,2261.0,Fitbit
U_5NQ4FMYZYCWT,26-Sep-2024,9420,6.73,76,19,151,1303,2804.0,Fitbit
U_5NQ4FMYZYCWT,27-Sep-2024,8148,5.82,30,,117,1211,2380.0,Fitbit
U_5NQ4FMYZYCWT,2024-09-28,7805,5.58,44,32,2,1343,2156.0,Fitbit
U_5NQ4FMYZYCWT,2024-09-29,10530,7.52,38,39,121,1341,2336.0,Fitbit
U_5NQ4FMYZYCWT,30-Sep-2024,8459,6.04,,38,,1287,2469.0,Fitbit
U_5NQ4FMYZYCWT,2024/10/03 00:00,9026,6.45,,27,176,1306,1929.0,Fitbit
U_5NQ4FMYZYCWT,2024/10/04 00:00,9430,6.74,64,11,2,1310,2342.0,Fitbit
,2024-10-05,8641,6.17,38,10,220,,2447.0,Fitbit
U_5NQ4FMYZYCWT,10/06/2024,7999,5.71,55,10,171,1191,2004.0,Fitbit
U_5NQ4FMYZYCWT,2024/10/07 00:00,7864,5.62,37,22,76,1245,1958.0,Fitbit
U_5NQ4FMYZYCWT,2024/10/08 00:00,10715,7.65,58,11,,1228,2162.0,Fitbit
U_5NQ4FMYZYCWT,09-Oct-2024,13047,9.32,84,24,151,1176,2663.0,Fitbit
U_5NQ4FMYZYCWT,2024-10-10,9045,6.46,47,18,43,1268,2236.0,Fitbit
U_5NQ4FMYZYCWT,11-Oct-2024,9247,6.61,51,,148,1294,1779.0,Fitbit
U_5NQ4FMYZYCWT,2024-10-12,5359,3.83,31,5,86,1373,2294.0,Fitbit
U_5NQ4FMYZYCWT,2024-10-13,7962,5.69,,34,146,1294,2625.0,Fitbit
U_5NQ4FMYZYCWT,2024/10/14 00:00,9012,6.44,48,24,35,1339,2034.0,Fitbit
U_5NQ4FMYZYCWT,15-Oct-2024,11010,7.86,73,24,124,1255,2763.0,Fitbit
U_5NQ4FMYZYCWT,2024/10/16 00:00,11473,8.2,88,,,,2601.0,Fitbit
U_5NQ4FMYZYCWT,2024-10-17,11163,7.97,71,33,58,1298,1936.0,Fitbit
U_5NQ4FMYZYCWT,10/18/2024,9179,6.56,61,1,108,1219,2146.0,Fitbit
U_5NQ4FMYZYCWT,19-Oct-2024,7424,5.3,43,18,,1324,1750.0,Fitbit
