user,type,startDate,endDate,value,unit,sourceName,device,metadata
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-01-13T00:00:00,2024-01-14T00:00:00,1941.5,bpm,Apple Watch,Apple Watch Ultra,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-01-14 00:00:00 ,2024-01-15T00:00:00,56.5,min,,Apple Watch Series 8,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-01-15 00:00:00 ,2024-01-16T00:00:00,2119.2,hour,,,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-01-16 00:00:00 ,2024-01-17T00:00:00,2210.8,bpm,,,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-01-17T00:00:00,2024-01-18T00:00:00,2191.5,,Health,Apple Watch Ultra,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-01-18 00:00:00 ,2024-01-19T00:00:00,54.4,Cal,iPhone,,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-01-19T00:00:00,2024-01-20T00:00:00,2128.9,Cal,Health,Apple Watch Series 8,{workout:run}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-01-20 00:00:00 ,2024-01-21T00:00:00,2596.6,count,iPhone,Apple Watch Ultra,{workout:run}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-01-21 00:00:00 ,2024-01-22T00:00:00,2306.5,hour,Health,,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-01-22T00:00:00,2024-01-23T00:00:00,2620.1,kcal,Apple Watch,Apple Watch Series 8,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-01-23T00:00:00,2024-01-24T00:00:00,2563.4,min,Apple Watch,,{workout:run}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-01-24 00:00:00 ,2024-01-25T00:00:00,9720,kcal,Apple Watch,Apple Watch Ultra,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-01-25T00:00:00,2024-01-26T00:00:00,2426.0,min,Apple Watch,,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-01-26T00:00:00,2024-01-27T00:00:00,2548.0,,Apple Watch,Apple Watch Ultra,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-01-27 00:00:00 ,2024-01-28T00:00:00,10320,kcal,iPhone,Apple Watch Series 8,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-01-28T00:00:00,2024-01-29T00:00:00,6746,kcal,Apple Watch,Apple Watch Series 8,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-01-29 00:00:00 ,2024-01-30T00:00:00,11411,kcal,Health,Apple Watch Ultra,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-01-30 00:00:00 ,2024-01-31T00:00:00,446.0,bpm,Health,Apple Watch Series 8,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-01-31 00:00:00 ,2024-02-01T00:00:00,9964,hour,iPhone,Apple Watch Ultra,
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-02-01T00:00:00,2024-02-02T00:00:00,2398.4,min,iPhone,Apple Watch Series 8,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-02-02 00:00:00 ,2024-02-03T00:00:00,9878,count,,Apple Watch Series 8,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-02-03 00:00:00 ,2024-02-04T00:00:00,8336,bpm,,,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-02-04T00:00:00,2024-02-05T00:00:00,2105.5,kcal,Health,,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-02-05T00:00:00,2024-02-06T00:00:00,,kcal,Health,Apple Watch Ultra,{workout:run}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-02-06 00:00:00 ,2024-02-07T00:00:00,10182,,Health,Apple Watch Series 8,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-02-08T00:00:00,2024-02-09T00:00:00,7842,,Health,,
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-02-10 00:00:00 ,2024-02-11T00:00:00,467.0,count,Health,,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-02-11T00:00:00,2024-02-12T00:00:00,9223,kcal,iPhone,Apple Watch Ultra,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-02-12 00:00:00 ,2024-02-13T00:00:00,9409,hour,,,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-02-14 00:00:00 ,2024-02-15T00:00:00,8866,count,,Apple Watch Ultra,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-02-15 00:00:00 ,2024-02-16T00:00:00,7122,,Health,,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-02-16 00:00:00 ,2024-02-17T00:00:00,2198.8,kcal,Apple Watch,,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-02-17 00:00:00 ,2024-02-18T00:00:00,7342,count,Apple Watch,Apple Watch Ultra,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-02-18T00:00:00,2024-02-19T00:00:00,6710,count,Health,Apple Watch Ultra,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-02-26T00:00:00,2024-02-27T00:00:00,2164.7,,Apple Watch,Apple Watch Ultra,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-02-27T00:00:00,2024-02-28T00:00:00,2407.7,count,iPhone,Apple Watch Series 8,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-02-28 00:00:00 ,2024-02-29T00:00:00,1950.8,kcal,iPhone,Apple Watch Ultra,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-02-29T00:00:00,2024-03-01T00:00:00,2721.9,,,,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-03-01 00:00:00 ,2024-03-02T00:00:00,11334,hour,Health,Apple Watch Series 8,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-03-02T00:00:00,2024-03-03T00:00:00,7845,min,iPhone,,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-03-03T00:00:00,2024-03-04T00:00:00,,kcal,Health,Apple Watch Series 8,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-03-04T00:00:00,2024-03-05T00:00:00,2237.8,Cal,Apple Watch,,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-03-05T00:00:00,2024-03-06T00:00:00,,hour,,Apple Watch Ultra,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-03-06T00:00:00,2024-03-07T00:00:00,,hour,Apple Watch,Apple Watch Ultra,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-03-07 00:00:00 ,2024-03-08T00:00:00,1638.7,min,Health,Apple Watch Series 8,{workout:run}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-03-08T00:00:00,2024-03-09T00:00:00,11546,count,Health,,{workout:run}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-03-09T00:00:00,2024-03-10T00:00:00,436.0,Cal,iPhone,Apple Watch Ultra,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-03-10T00:00:00,2024-03-11T00:00:00,9697,kcal,,Apple Watch Ultra,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-03-11 00:00:00 ,2024-03-12T00:00:00,2121.9,kcal,,Apple Watch Series 8,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-03-12 00:00:00 ,2024-03-13T00:00:00,2198.6,min,Apple Watch,,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-03-13T00:00:00,2024-03-14T00:00:00,49.3,hour,Apple Watch,Apple Watch Ultra,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-03-14 00:00:00 ,2024-03-15T00:00:00,48.2,hour,Health,Apple Watch Ultra,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-03-15T00:00:00,2024-03-16T00:00:00,1946.8,,Health,Apple Watch Ultra,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-03-16T00:00:00,2024-03-17T00:00:00,6916,min,Health,Apple Watch Ultra,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-03-26 00:00:00 ,2024-03-27T00:00:00,9675,hour,Apple Watch,Apple Watch Ultra,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-03-27 00:00:00 ,2024-03-28T00:00:00,1659.9,Cal,iPhone,,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-03-28T00:00:00,2024-03-29T00:00:00,8604,bpm,iPhone,,{workout:run}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-03-29 00:00:00 ,2024-03-30T00:00:00,1913.7,kcal,Apple Watch,Apple Watch Ultra,{workout:run}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-03-29 00:00:00 ,2024-03-30T00:00:00,1913.7,kcal,Apple Watch,Apple Watch Ultra,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-03-30T00:00:00,2024-03-31T00:00:00,52.8,kcal,Health,Apple Watch Ultra,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-03-31 00:00:00 ,2024-04-01T00:00:00,45.8,bpm,Health,Apple Watch Series 8,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-04-01T00:00:00,2024-04-02T00:00:00,2248.5,bpm,,,
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-04-02 00:00:00 ,2024-04-03T00:00:00,9741,bpm,Apple Watch,,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-04-03 00:00:00 ,2024-04-04T00:00:00,2206.7,bpm,Apple Watch,Apple Watch Ultra,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-04-03 00:00:00 ,2024-04-04T00:00:00,2206.7,bpm,Apple Watch,Apple Watch Ultra,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-04-04 00:00:00 ,2024-04-05T00:00:00,2262.1,min,iPhone,,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-04-06 00:00:00 ,2024-04-07T00:00:00,45.0,,,Apple Watch Ultra,{workout:run}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-04-07T00:00:00,2024-04-08T00:00:00,2515.8,hour,iPhone,Apple Watch Series 8,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-04-08 00:00:00 ,2024-04-09T00:00:00,2063.6,,iPhone,Apple Watch Ultra,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-04-09 00:00:00 ,2024-04-10T00:00:00,,min,,,{workout:run}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-04-10 00:00:00 ,2024-04-11T00:00:00,45.0,min,Apple Watch,,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-04-11T00:00:00,2024-04-12T00:00:00,2089.8,count,,Apple Watch Series 8,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-04-12 00:00:00 ,2024-04-13T00:00:00,1576.6,,Apple Watch,Apple Watch Ultra,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-04-13T00:00:00,2024-04-14T00:00:00,1909.0,Cal,,Apple Watch Ultra,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-04-14T00:00:00,2024-04-15T00:00:00,2445.9,kcal,Apple Watch,Apple Watch Series 8,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-04-15 00:00:00 ,2024-04-16T00:00:00,6854,count,Apple Watch,,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-04-16T00:00:00,2024-04-17T00:00:00,55.6,kcal,iPhone,Apple Watch Ultra,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-04-17T00:00:00,2024-04-18T00:00:00,9026,bpm,,Apple Watch Ultra,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-04-18T00:00:00,2024-04-19T00:00:00,53.8,count,Apple Watch,Apple Watch Ultra,{workout:run}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-04-19 00:00:00 ,2024-04-20T00:00:00,48.9,min,Apple Watch,Apple Watch Series 8,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-04-20T00:00:00,2024-04-21T00:00:00,2361.8,,iPhone,Apple Watch Series 8,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-04-21 00:00:00 ,2024-04-22T00:00:00,2397.5,count,Apple Watch,Apple Watch Series 8,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-04-22 00:00:00 ,2024-04-23T00:00:00,2346.4,,Apple Watch,,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-04-23 00:00:00 ,2024-04-24T00:00:00,2436.5,Cal,iPhone,Apple Watch Series 8,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-04-23 00:00:00 ,2024-04-24T00:00:00,2436.5,Cal,iPhone,Apple Watch Series 8,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-04-24 00:00:00 ,2024-04-25T00:00:00,45.8,min,Apple Watch,,
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-04-25T00:00:00,2024-04-26T00:00:00,2101.3,count,,,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-04-27 00:00:00 ,2024-04-28T00:00:00,,count,Apple Watch,Apple Watch Ultra,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-04-28 00:00:00 ,2024-04-29T00:00:00,2005.6,hour,Health,Apple Watch Ultra,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-04-29T00:00:00,2024-04-30T00:00:00,2418.5,count,Apple Watch,Apple Watch Series 8,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-04-30T00:00:00,2024-05-01T00:00:00,2224.2,count,Apple Watch,,{workout:run}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-05-01T00:00:00,2024-05-02T00:00:00,2393.5,min,,,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-05-02 00:00:00 ,2024-05-03T00:00:00,,count,iPhone,,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-05-03T00:00:00,2024-05-04T00:00:00,2073.0,Cal,Health,Apple Watch Series 8,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-05-04 00:00:00 ,2024-05-05T00:00:00,7400,kcal,Apple Watch,Apple Watch Ultra,{workout:run}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-05-05 00:00:00 ,2024-05-06T00:00:00,2550.5,,Apple Watch,Apple Watch Series 8,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-05-06T00:00:00,2024-05-07T00:00:00,51.2,bpm,,Apple Watch Series 8,{workout:run}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-05-07T00:00:00,2024-05-08T00:00:00,2348.8,min,Apple Watch,Apple Watch Ultra,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-05-07T00:00:00,2024-05-08T00:00:00,2348.8,min,Apple Watch,Apple Watch Ultra,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-05-08 00:00:00 ,2024-05-09T00:00:00,2481.8,count,Apple Watch,Apple Watch Ultra,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-05-09 00:00:00 ,2024-05-10T00:00:00,50.2,kcal,Health,Apple Watch Series 8,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-05-10 00:00:00 ,2024-05-11T00:00:00,2201.4,kcal,,Apple Watch Ultra,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-05-11 00:00:00 ,2024-05-12T00:00:00,8861,kcal,Health,Apple Watch Series 8,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-05-11 00:00:00 ,2024-05-12T00:00:00,8861,kcal,Health,Apple Watch Series 8,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-05-12T00:00:00,2024-05-13T00:00:00,2114.8,bpm,,Apple Watch Series 8,{workout:run}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-05-21 00:00:00 ,2024-05-22T00:00:00,50.6,count,,,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-05-22 00:00:00 ,2024-05-23T00:00:00,10191,hour,Health,,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-05-23T00:00:00,2024-05-24T00:00:00,2044.5,count,Health,Apple Watch Series 8,{workout:run}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-05-24T00:00:00,2024-05-25T00:00:00,6898,min,Health,Apple Watch Series 8,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-05-25T00:00:00,2024-05-26T00:00:00,8858,Cal,Health,,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-05-26 00:00:00 ,2024-05-27T00:00:00,7165,,,,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-05-27 00:00:00 ,2024-05-28T00:00:00,9572,count,Health,Apple Watch Ultra,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-05-28T00:00:00,2024-05-29T00:00:00,52.9,kcal,,Apple Watch Series 8,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-05-29 00:00:00 ,2024-05-30T00:00:00,2382.6,min,,,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-05-30T00:00:00,2024-05-31T00:00:00,2231.6,Cal,iPhone,Apple Watch Series 8,{workout:run}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-05-31T00:00:00,2024-06-01T00:00:00,2165.7,hour,,Apple Watch Ultra,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-06-01 00:00:00 ,2024-06-02T00:00:00,2492.8,kcal,Apple Watch,,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-06-02 00:00:00 ,2024-06-03T00:00:00,9884,min,iPhone,Apple Watch Series 8,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-06-03 00:00:00 ,2024-06-04T00:00:00,9014,min,Health,Apple Watch Series 8,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-06-04T00:00:00,2024-06-05T00:00:00,9613,count,,Apple Watch Ultra,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-06-05T00:00:00,2024-06-06T00:00:00,52.3,count,,Apple Watch Ultra,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-06-06 00:00:00 ,2024-06-07T00:00:00,1877.0,hour,,,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-06-08 00:00:00 ,2024-06-09T00:00:00,8590,bpm,Health,Apple Watch Series 8,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-06-09T00:00:00,2024-06-10T00:00:00,8417,kcal,,Apple Watch Series 8,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-06-10T00:00:00,2024-06-11T00:00:00,45.0,hour,,Apple Watch Series 8,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-06-11T00:00:00,2024-06-12T00:00:00,2158.7,bpm,Apple Watch,Apple Watch Ultra,
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-06-12T00:00:00,2024-06-13T00:00:00,512.0,min,Apple Watch,Apple Watch Ultra,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-06-13T00:00:00,2024-06-14T00:00:00,1875.9,min,Apple Watch,Apple Watch Ultra,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-06-14T00:00:00,2024-06-15T00:00:00,2520.6,hour,Health,Apple Watch Ultra,{workout:run}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-06-15 00:00:00 ,2024-06-16T00:00:00,7808,min,iPhone,Apple Watch Ultra,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-06-16 00:00:00 ,2024-06-17T00:00:00,7827,bpm,Apple Watch,Apple Watch Ultra,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-06-17T00:00:00,2024-06-18T00:00:00,9784,kcal,iPhone,,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-06-18 00:00:00 ,2024-06-19T00:00:00,49.9,min,iPhone,Apple Watch Series 8,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-06-18 00:00:00 ,2024-06-19T00:00:00,49.9,min,iPhone,Apple Watch Series 8,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-06-19 00:00:00 ,2024-06-20T00:00:00,,bpm,iPhone,Apple Watch Ultra,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierActiveEnergyBurned,2024-06-20T00:00:00,2024-06-21T00:00:00,11471,Cal,iPhone,Apple Watch Series 8,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-06-21T00:00:00,2024-06-22T00:00:00,,,Health,,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-06-22T00:00:00,2024-06-23T00:00:00,9876,count,Apple Watch,,
